翠岛花城柳丝苑,http://nj.lianjia.com/ershoufang/103100497452.html,户型方正 南北通透 交通便利 配套齐,3室2厅,29978,352,117.42,低楼层/共10层,南 北,平层/简装,2005,,雨花台,宁南,近1号线花神庙站
东方龙湖湾,http://nj.lianjia.com/ershoufang/103101079447.html,东方龙湖湾 2室2厅 226万,2室2厅,25359,226,89.12,中楼层/共8层,南,平层/精装,2011,,江宁,江宁大学城,近1号线南京交院站
南方花园C组团,http://nj.lianjia.com/ershoufang/103100824692.html,南方花园C组团  楼层好  采光无遮挡,3室2厅,25254,263,104.14,中楼层/共6层,南 北,平层/精装,2003,,江宁,岔路口,近1号线双龙大道站
翠岛花城柳丝苑,http://nj.lianjia.com/ershoufang/103101050955.html,翠岛三房 装修好 楼层棒 交通便利  南部新城,3室2厅,33880,405,119.54,低楼层/共10层,南,精装,2004,,雨花台,宁南,近1号线花神庙站
南方花园B组团,http://nj.lianjia.com/ershoufang/103101122244.html,地铁房 生活配套全 出行方便 双卧朝南 采光充足,2室1厅,23320,202,86.62,中楼层/共7层,南,平层/简装,2002,,江宁,岔路口,近1号线双龙大道站
翠岛花城荷田苑,http://nj.lianjia.com/ershoufang/103100747585.html,翠岛三房 视野好 楼层棒 采光好,3室2厅,34055,398,116.87,中楼层/共10层,南 北,平层/精装,2004,,雨花台,宁南,近1号线花神庙站
武夷绿洲品茗苑,http://nj.lianjia.com/ershoufang/103101054363.html,武夷绿洲三期品茗苑南北通透两房 多层实用 居家装修,2室2厅,27693,236,85.22,高楼层/共6层,南 北,精装,2009,,江宁,科学园,近1号线竹山路站
合班村122号,http://nj.lianjia.com/ershoufang/103101012311.html,迈皋桥 中间楼层 08年房龄 双南一北 精装修 ,3室2厅,25143,268,106.59,中楼层/共6层,南 北,平层/精装,2008,,栖霞,迈皋桥,近1号线迈皋桥站
东渡国际青年城,http://nj.lianjia.com/ershoufang/103101056671.html,东渡国际 双卧朝南 全明户型 精装两房 诚意出售 ,2室1厅,27958,215,76.9,低楼层/共25层,南,平层/精装,2009,,江宁,东山镇,近1号线竹山路站
德安花园,http://nj.lianjia.com/ershoufang/103100718198.html,德安花园 地铁口 生活便利 满五年 无抵押,3室2厅,28223,301,106.65,低楼层/共6层,南 北,平层/简装,2004,,雨花台,安德门,近1号线安德门站
